61.7	6670
61.7	8803
61.7	10660
61.8	114
61.8	2454
61.8	5036
61.8	5347
61.8	6190
61.8	6686
61.8	7652
61.8	9054
61.8	10062
61.9	2032
61.9	3741
61.9	8103
61.9	11303
62	10116
62	10718
62	10903
62.1	2392
62.1	11652
62.2	2008
62.2	2186
62.2	5258
62.2	5481
62.2	6447
62.2	10187
62.2	10922
62.3	1999
62.3	2062
62.3	5741
62.3	6471
62.3	7240
62.3	7625
62.3	7732
62.3	12157
62.4	2482
62.4	6685
62.4	8068
62.4	9395
62.4	9489
62.5	58
62.5	93
62.5	1431
62.5	4388
62.5	5790
62.5	8000
62.5	9220
62.5	9439
62.5	9546
62.5	10885
62.6	1577
62.6	4034
62.6	6250
62.6	7646
62.6	7676
62.6	9536
62.6	10444
62.6	10497
62.6	10897
62.6	11365
62.7	75
62.7	971
62.7	1450
62.7	2072
62.7	2233
62.7	2728
62.7	2868
62.7	3098
62.7	4824
62.7	6695
62.7	6887
62.7	8665
62.7	9336
62.7	10422
62.7	10907
62.8	505
62.8	541
62.8	4519
62.8	6369
62.8	6747
62.8	6946
62.8	7565
62.8	8920
62.8	9874
62.8	10455
62.8	10820
62.8	11270
62.8	11497
62.8	11660
62.9	1155
62.9	1853
62.9	2909
62.9	3090
62.9	4009
62.9	4152
62.9	4184
62.9	4541
62.9	5515
62.9	7217
62.9	10403
62.9	11705
63	620
63	1311
63	1403
63	1521
63	1625
63	3834
63	5273
63	5664
63	6718
63	8465
63.1	87
63.1	2801
63.1	4255
63.1	4587
63.1	5016
63.1	5127
63.1	5463
63.1	5740
63.1	7141
63.1	8571
63.1	9958
63.1	10399
63.1	11024
63.1	11454
63.1	12152
63.2	346
63.2	1014
63.2	1831
63.2	2372
63.2	3302
63.2	5811
63.2	5997
63.2	6040
63.2	10067
63.2	11786
63.2	11884
63.3	106
63.3	1015
63.3	1023
63.3	1663
63.3	1733
63.3	2628
63.3	2804
63.3	2940
63.3	3911
63.3	4096
63.3	4128
63.3	4463
63.3	5473
63.3	5727
63.3	6912
63.3	9789
63.3	9971
63.3	10926
63.4	3
63.4	211
63.4	600
63.4	872
63.4	1215
63.4	1709
63.4	1710
63.4	3442
63.4	4111
63.4	5863
63.4	6414
63.4	6658
63.4	7039
63.4	10429
63.4	11379
63.4	12241
63.5	298
63.5	3534
63.5	6705
63.5	10242
63.5	10383
63.5	10765
63.6	6123
63.6	8210
63.6	12367
63.7	3033
63.7	6728
63.7	6807
63.7	7018
63.7	7838
63.7	9773
63.7	10097
63.7	10305
63.7	11295
63.7	11911
63.7	12338
63.8	4
63.8	353
63.8	583
63.8	1840
63.8	3717
63.8	3977
63.8	4895
63.8	5646
63.8	5921
63.8	7892
63.8	10281
63.8	10329
63.8	10789
63.8	11640
63.9	934
63.9	4365
63.9	4922
63.9	6298
63.9	8136
63.9	8535
63.9	9623
63.9	10790
63.9	10994
64	1263
64	2084
64	2269
64	2727
64	4729
64	5222
64	5546
64	6001
64	6350
64	6828
64	6841
64	7136
64	7733
64	8243
64	8879
64	9348
64	9803
64	11029
64	12050
64	12319
64.1	414
64.1	543
64.1	1122
64.1	1396
64.1	1817
64.1	2286
64.1	4301
64.1	7023
64.1	8169
64.1	8852
64.1	10988
64.1	11383
64.1	11475
64.1	11879
64.2	936
64.2	2258
64.2	2326
64.2	3068
64.2	4038
64.2	5126
64.2	7205
64.2	7494
64.2	7909
64.2	8306
64.2	8407
64.2	8439
64.2	9398
64.2	9797
64.2	9999
64.2	10976
64.2	11586
64.2	12185
64.2	12322
64.3	118
64.3	389
64.3	1088
64.3	1325
64.3	2103
64.3	2558
64.3	3153
64.3	5632
64.3	6435
64.3	7624
64.3	8343
64.3	10857
64.3	11275
64.3	12230
64.3	12328
64.4	474
64.4	695
64.4	1300
64.4	1368
64.4	2022
64.4	2907
64.4	3506
64.4	3532
64.4	3907
64.4	4712
64.4	5207
64.4	6517
64.4	6831
64.4	7322
64.4	8244
64.4	8365
64.4	8493
64.4	8702
64.4	9548
64.4	11540
64.5	895
64.5	1038
64.5	2580
64.5	5857
64.5	6055
64.5	6429
64.5	7476
64.5	8010
64.5	8239
64.5	8380
64.5	10670
64.5	10693
64.5	11315
64.5	11347
64.5	11644
64.5	11894
64.5	12145
64.5	12482
64.6	196
64.6	1425
64.6	2163
64.6	3426
64.6	4081
64.6	4914
64.6	6651
64.6	6707
64.6	8181
64.6	9807
64.6	10676
64.6	10974
64.6	11316
64.6	11685
64.6	11726
64.6	12368
64.7	274
64.7	558
64.7	883
64.7	2025
64.7	2401
64.7	3504
64.7	4050
64.7	5693
64.7	7034
64.7	8811
64.7	8939
64.7	9020
64.7	9316
64.7	10105
64.7	11624
64.7	11682
64.7	12027
64.8	149
64.8	207
64.8	2515
64.8	2537
64.8	2669
64.8	2684
64.8	3041
64.8	3120
64.8	3580
64.8	3623
64.8	3772
64.8	3934
64.8	4511
64.8	4755
64.8	4811
64.8	5087
64.8	5149
64.8	5185
64.8	5613
64.8	6262
64.8	6532
64.8	6561
64.8	7274
64.8	7435
64.8	8766
64.8	9214
64.8	9476
64.8	9481
64.8	9895
64.8	10433
64.8	10731
64.8	11607
64.8	11791
64.8	11866
64.8	12168
64.9	377
64.9	1494
64.9	1520
64.9	1537
64.9	1904
64.9	2463
64.9	2932
64.9	3085
64.9	3135
64.9	3266
64.9	3788
64.9	3982
64.9	4082
64.9	4238
64.9	4246
64.9	4643
64.9	5168
64.9	5169
64.9	5771
64.9	6117
64.9	6248
64.9	6573
64.9	6762
64.9	7325
64.9	7375
64.9	7718
64.9	7887
64.9	8080
64.9	8544
64.9	9084
64.9	9385
64.9	10589
64.9	10818
64.9	12086
64.9	12277
65	2854
65	3727
